"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30074","Interact with text box element","chromium","Wed Sep 10 11:33:05 IST 2025","broken","Wed Sep 10 11:33:35 IST 2025","Tests with beforeEach hook","beforeTest.spec.ts","",""
"","10739","Login form automation","chromium","Wed Sep 10 11:34:17 IST 2025","passed","Wed Sep 10 11:34:27 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","15848","Verify title of a page","chromium","Wed Sep 10 11:35:28 IST 2025","passed","Wed Sep 10 11:35:44 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30151","Handling js alerts","chromium","Wed Sep 10 11:39:17 IST 2025","broken","Wed Sep 10 11:39:47 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30176","Wait for an element before interacting","chromium","Wed Sep 10 11:36:14 IST 2025","broken","Wed Sep 10 11:36:45 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30069","Click a button and wait for text","chromium","Wed Sep 10 11:34:27 IST 2025","broken","Wed Sep 10 11:34:57 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","11021","Open a webpage and take a screenshot","chromium","Wed Sep 10 11:34:05 IST 2025","passed","Wed Sep 10 11:34:17 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30164","File upload test","chromium","Wed Sep 10 11:38:47 IST 2025","broken","Wed Sep 10 11:39:17 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30182","Select item from dropdown","chromium","Wed Sep 10 11:37:15 IST 2025","broken","Wed Sep 10 11:37:46 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","21058","retry a flaky button click","chromium","Wed Sep 10 11:40:39 IST 2025","passed","Wed Sep 10 11:41:00 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30169","Click the 3rd item in a list","chromium","Wed Sep 10 11:37:46 IST 2025","broken","Wed Sep 10 11:38:16 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30174","Click a link that opens a new tab","chromium","Wed Sep 10 11:36:45 IST 2025","broken","Wed Sep 10 11:37:15 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30177","Fill a form","chromium","Wed Sep 10 11:34:58 IST 2025","broken","Wed Sep 10 11:35:28 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","2510","Real API response","chromium","Wed Sep 10 11:33:02 IST 2025","passed","Wed Sep 10 11:33:05 IST 2025","","apiTest.spec.ts","",""
"","30173","Click a radio button","chromium","Wed Sep 10 11:38:16 IST 2025","broken","Wed Sep 10 11:38:47 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","20619","File download test","chromium","Wed Sep 10 11:40:18 IST 2025","passed","Wed Sep 10 11:40:39 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30073","Check and click a checkbox od document if not selected","chromium","Wed Sep 10 11:35:44 IST 2025","broken","Wed Sep 10 11:36:14 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30164","handling iframes","chromium","Wed Sep 10 11:39:48 IST 2025","broken","Wed Sep 10 11:40:18 IST 2025","QA Automation Assignment","qaAutomationAssignment.spec.ts","",""
"","30171","Interact with checkbox element","chromium","Wed Sep 10 11:33:35 IST 2025","broken","Wed Sep 10 11:34:05 IST 2025","Tests with beforeEach hook","beforeTest.spec.ts","",""
